new entry "PRONE"
type "StatusData"
data "StatusType" "KNOCKED_DOWN"
data "DisplayName" "hd46c228eg11a3gee0ega2e0gd5b0430337ac;1"
data "Description" "h3578cb77g1ee7gae35gfc8cgda107b1f2b90;1"
data "Icon" "Status_Prone"
data "FormatColor" "White"
data "StillAnimationType" "KO"
data "StillAnimationPriority" "KO"
data "UseLyingPickingState" "Yes"
data "StackId" "CIRCUMSTANCE_PENALTY_AC"
data "StackPriority" "2"
data "Boosts" "AC(-2)"
data "StatusPropertyFlags" "IgnoredByImmobilized;InitiateCombat;DisableOverhead"
data "RemoveEvents" "OnTurn;OnMove"
data "OnApplyFunctors" "RemoveStatus(SNEAKING);RemoveStatus(SLEEP);RemoveStatus(SG_Sleeping);"
data "OnRemoveFunctors" "UseActionResource(Action,1,0,true)"
data "StatusGroups" "SG_Prone;SG_Condition;SG_Unconscious"
data "SplatterDirtAmount" "0.1"
data "Sheathing" "Sheathed"

